"handle","title","issue","sizes","price","suggested_fix","review_status"
"all-for-the-money-hoodie-1","All For The Money hoodie","Hoodie price is closer to the adult shirt median ($36.00) than the hoodie median ($60.00)","S | M | L | XL","30.00","Confirm the garment type; if this is a hoodie, correct the price, otherwise correct the title/product type.",""
"all-for-the-money-hoodie-1","All For The Money hoodie","Price differs by more than 20% from the adult hoodie median of $60.00","S | M | L | XL","30.00","Review the price against the typical adult hoodie price of $60.00 and confirm whether the difference is intentional.",""
"baby-baby-baby-shirt","Baby Baby Baby shirt","Title indicates baby, but size options look adult","S | M | L | XL | 2XL","36.00","No change — “baby” is part of the design/title phrase, not the garment age classification.","FALSE_POSITIVE"
"baby-baby-baby-youth-hoodie","Baby Baby Baby youth hoodie","Title indicates youth, but size options include extended adult sizes","S | M | L | XL | 2XL","60.00","Verify whether these are youth or adult variants; correct the title or remove/rebuild the mismatched size variants.",""
"baby-got-back-hoodie","Baby Got Back hoodie","Title indicates baby, but size options look adult","S | M | L | XL | 2XL","60.00","No change — “baby” is part of the design/title phrase, not the garment age classification.","FALSE_POSITIVE"
"baby-got-back-shirt","Baby Got Back shirt","Title indicates baby, but size options look adult","S | M | L | XL | 2XL","36.00","No change — “baby” is part of the design/title phrase, not the garment age classification.","FALSE_POSITIVE"
"bone-thugs-toddler-shirt-1","Bone Thugs toddler shirt","Title indicates toddler, but size options look adult","S | M | L | XL","30.00","Verify the product template and replace adult size variants with the intended toddler/baby size set, or correct the title.",""
"dolly-my-baby-hoodie","Dolly My Baby hoodie","Title indicates baby, but size options look adult","S | M | L | XL | 2XL","60.00","No change — “baby” is part of the design/title phrase, not the garment age classification.","FALSE_POSITIVE"
"dolly-my-baby-shirt","Dolly My Baby shirt","Title indicates baby, but size options look adult","S | M | L | XL | 2XL","36.00","No change — “baby” is part of the design/title phrase, not the garment age classification.","FALSE_POSITIVE"
"dont-believe-the-hype-hoodie-1","Dont Believe The Hype hoodie","Hoodie price is closer to the adult shirt median ($36.00) than the hoodie median ($60.00)","S | M | L | XL","30.00","Confirm the garment type; if this is a hoodie, correct the price, otherwise correct the title/product type.",""
"dont-believe-the-hype-hoodie-1","Dont Believe The Hype hoodie","Price differs by more than 20% from the adult hoodie median of $60.00","S | M | L | XL","30.00","Review the price against the typical adult hoodie price of $60.00 and confirm whether the difference is intentional.",""
"epmd-strictly-business-hoodie-1","EPMD Strictly Business hoodie","Hoodie price is closer to the adult shirt median ($36.00) than the hoodie median ($60.00)","S | M | L | XL","30.00","Confirm the garment type; if this is a hoodie, correct the price, otherwise correct the title/product type.",""
