"handle","new_title","new_price","new_product_type"
"all-for-the-money-hoodie-1","All For The Money youth shirt","","Youth Shirt"
"baby-baby-baby-youth-hoodie","Baby Baby Baby hoodie","","Hoodie"
"bone-thugs-toddler-shirt-1","Bone Thugs youth shirt","","Youth Shirt"
"dont-believe-the-hype-hoodie-1","Dont Believe The Hype youth shirt","","Youth Shirt"
"epmd-strictly-business-hoodie-1","EPMD Strictly Business youth shirt","","Youth Shirt"
"gettin-up-oneise","Gettin up Onesie","",""
"hard-knock-life-youth-hoodie","","54",""
"little-mike-shirt-1","Little Mike hoodie","","Hoodie"
"lyrics-2-go-shirt-1","Lyrics 2 Go hoodie","","Hoodie"
"mahogany-soul-youth-hoodie","","60","Hoodie"
"me-and-u-yo-mama-n-yo-cuzin-2-oneise","Me and U Yo Mama N Yo Cuzin 2 Onesie","",""
"mic-checka-youth-shirt-1","Mic Checka youth hoodie","","Youth Hoodie"
"motivation-asap-oneise","Motivation...ASAP Onesie","",""
"my-crew-cant-go-4-that-youth-shirt","My Crew Can't Go 4 That youth hoodie","","Youth Hoodie"
"my-hitta-my-hitta-onesie","","30",""
"on-my-block-youth-shirt-1","On My Block youth hoodie","","Youth Hoodie"
"shinin-star-youth-shirt-1","Shinin Star youth hoodie","","Youth Hoodie"
"soul-survivor-youth-shirt-1","Soul Survivor hoodie","","Hoodie"
"southern-hospitality-onesie","","30",""
"stay-woke-toddler-shirt-1","Stay Woke youth hoodie","","Youth Hoodie"
"the-love-movement-youth-hoodie-1","The Love Movement youth shirt","","Youth Shirt"
"the-most-beautifulest","The Most Beautifulest Onesie","",""
"the-most-beautifullest-94-hoodie-1","The Most Beautifullest 94 shirt","","Shirt"
"the-next-movement-youth-shirt","The Next Movement hoodie","","Hoodie"
"thug-life-2pac-toddler-shirt-1","Thug Life 2pac youth shirt","","Youth Shirt"
"u-bout-it-bout-it-fool-hoodie-1","U Bout it Bout it Fool youth shirt","","Youth Shirt"
"u-n-i-t-y-youth-hoodie","","54","Youth Hoodie"
"underground-kingz-youth-shirt-1","Underground Kingz youth hoodie","","Youth Hoodie"
"weve-only-just-begun-onesie","","30",""
