"handle","title","product_id","variant_id","sku","barcode","options","price","status","created_at","vendor","fulfillment_service"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485953802304","6955978_5538","","Red / S","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485953835072","6955978_5539","","Red / M","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485953867840","6955978_5540","","Red / L","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485953900608","6955978_5541","","Red / XL","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485953933376","6955978_5542","","Red / 2XL","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485953966144","6955978_5562","","Indigo Blue / S","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485953998912","6955978_5563","","Indigo Blue / M","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954031680","6955978_5564","","Indigo Blue / L","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954064448","6955978_5565","","Indigo Blue / XL","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954097216","6955978_5566","","Indigo Blue / 2XL","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954129984","6955978_5546","","Irish Green / S","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954162752","6955978_5547","","Irish Green / M","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954195520","6955978_5548","","Irish Green / L","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954228288","6955978_5549","","Irish Green / XL","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954261056","6955978_5550","","Irish Green / 2XL","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954293824","6955978_5610","","Sport Grey / S","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954326592","6955978_5611","","Sport Grey / M","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954359360","6955978_5612","","Sport Grey / L","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954392128","6955978_5613","","Sport Grey / XL","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954424896","6955978_5614","","Sport Grey / 2XL","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954457664","6955978_10841","","Light Blue / S","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954490432","6955978_10842","","Light Blue / M","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954523200","6955978_10843","","Light Blue / L","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954555968","6955978_10844","","Light Blue / XL","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954588736","6955978_10845","","Light Blue / 2XL","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954621504","6955978_10849","","Light Pink / S","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954654272","6955978_10850","","Light Pink / M","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954687040","6955978_10851","","Light Pink / L","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954719808","6955978_10852","","Light Pink / XL","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954752576","6955978_10853","","Light Pink / 2XL","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954785344","6955978_5522","","White / S","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954818112","6955978_5523","","White / M","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954850880","6955978_5524","","White / L","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954883648","6955978_5525","","White / XL","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-hoodie","1 in a Million hoodie","gid://shopify/Product/6621013540928","gid://shopify/ProductVariant/39485954916416","6955978_5526","","White / 2XL","60.00","active","2022-08-07T23:59:47-05:00","MyShirtsDope.com","manual"
"1-in-a-million-onesie","1 in a Million onesie","gid://shopify/Product/6592692977728","gid://shopify/ProductVariant/39394892578880","9243610_9454","","Heather Columbia Blue / 3-6m","30.00","active","2022-02-07T22:23:16-06:00","MyShirtsDope.com","manual"
"1-in-a-million-onesie","1 in a Million onesie","gid://shopify/Product/6592692977728","gid://shopify/ProductVariant/39394892611648","9243610_10329","","Yellow / 3-6m","30.00","active","2022-02-07T22:23:16-06:00","MyShirtsDope.com","manual"
"1-in-a-million-onesie","1 in a Million onesie","gid://shopify/Product/6592692977728","gid://shopify/ProductVariant/39394892644416","9243610_10333","","Athletic Heather / 3-6m","30.00","active","2022-02-07T22:23:16-06:00","MyShirtsDope.com","manual"
